susp/con ZIKV cases,,,Anguilla,Antigua-Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Puerto Rico,St. Barthelemy,St. Lucia,St. Vincent/Grenadines,St. Martin/Maarten,St. Kitts/Nevis,Trinidad/Tobago,Turks/Caicos,US Virgin Islands,,St. Thomas,St. Croix,St. John,**represented collectively as USVI
year,date,epi week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,42372,1,0,0,10,0,16,0,2,0,0,0,11,0,0,27,10,409,111,3,no trends,0,0,0,0,0,7,,3,4,0,
,42379,2,0,0,10,0,32,0,2,0,4,0,22,0,0,23,16,599,129,0,no trends,0,0,0,0,0,6,,2,4,0,
,42386,3,0,0,20,0,53,0,0,0,11,0,57,0,0,192,19,1045,195,0,no trends,0,3,0,0,0,10,,5,5,0,
,42393,4,3,0,18,0,80,0,3,0,32,0,80,0,0,252,77,1626,260,3,no trends,8,15,0,0,1,11,,4,7,0,
,42400,5,0,0,22,0,86,0,2,0,85,0,139,0,87,295,176,1165,445,2,no trends,7,10,0,0,2,16,,6,10,0,
,42407,6,0,0,27,0,51,0,1,0,86,0,83,0,124,190,96,913,603,0,no trends,5,21,0,1,3,22,,11,11,0,
,42414,7,0,0,32,0,45,0,2,0,145,0,95,0,171,305,95,1546,575,0,no trends,7,21,0,2,2,20,,3,17,0,
,42421,8,0,0,36,0,22,0,4,0,117,0,101,0,82,226,84,1640,483,0,no trends,8,25,0,1,0,14,,9,4,1,
,42428,9,1,0,34,0,17,0,3,0,77,1,106,0,224,131,88,1706,446,0,no trends,9,19,0,0,0,24,,10,14,0,
,42435,10,0,0,33,0,19,0,1,0,54,4,192,0,108,142,76,1651,465,0,no trends,1,24,0,4,2,15,,4,11,0,
,42442,11,3,0,26,0,23,0,3,1,61,7,149,0,50,103,75,1728,465,0,no trends,3,10,0,3,2,14,,5,8,1,
,42449,12,0,0,22,0,27,0,0,0,49,2,127,0,98,91,72,1095,344,0,no trends,2,3,0,2,1,15,,6,8,1,
,42456,13,0,0,30,0,11,0,1,0,39,12,175,0,177,67,69,1260,400,2,no trends,0,5,0,3,2,15,,9,5,1,
,42463,14,0,0,34,0,11,0,1,0,64,26,208,0,240,65,85,1336,502,0,no trends,1,10,0,3,0,13,,10,3,0,
,42470,15,1,0,33,0,6,0,3,0,67,28,381,0,345,46,104,1395,484,0,no trends,1,20,0,2,2,8,,5,3,0,
,42477,16,0,0,31,0,4,0,0,0,45,56,322,0,414,46,70,1578,558,0,no trends,1,29,0,0,0,8,,4,4,0,
,42484,17,0,0,11,0,10,0,1,0,23,81,355,0,830,42,89,1706,688,0,no trends,5,23,0,3,0,13,,4,9,0,
,42491,18,0,0,9,0,2,0,1,0,27,82,288,1,883,24,124,1285,967,0,no trends,5,25,0,3,0,12,,6,5,1,
,42498,19,1,0,23,0,3,0,2,0,44,64,256,0,1141,37,165,1767,967,6,no trends,12,63,0,5,0,13,,6,7,0,
,42505,20,0,0,20,0,9,0,1,0,47,76,231,1,1300,32,161,1095,1152,9,no trends,6,98,0,6,0,21,,8,12,1,
,42512,21,0,0,9,0,9,0,1,0,39,38,191,2,1511,22,253,1149,1329,15,no trends,21,107,0,13,0,10,,7,3,0,
,42519,22,1,0,11,0,5,0,0,0,41,55,295,5,2359,60,479,1135,1375,12,no trends,10,161,0,12,2,25,,12,13,0,
,42526,23,0,0,6,0,4,0,0,0,46,83,363,1,2765,61,461,1069,1450,17,no trends,11,146,0,18,1,16,,10,6,0,
,42533,24,0,0,7,0,6,0,9,0,46,97,330,8,2275,108,418,996,1830,32,no trends,15,158,0,15,2,19,,15,4,0,
,42540,25,1,0,7,0,2,0,2,0,38,80,248,22,2607,93,380,750,1839,29,no trends,13,114,0,14,1,26,,22,4,0,
,42547,26,0,0,8,0,2,1,5,0,41,99,169,75,2259,84,289,633,2145,55,no trends,19,169,1,20,2,29,,20,9,0,
,42554,27,1,0,3,0,1,0,3,0,39,94,153,62,2127,77,285,524,2164,41,no trends,9,180,1,28,3,20,,14,5,1,
,42561,28,2,0,2,0,1,0,4,0,25,60,97,34,1801,39,225,538,2034,45,no trends,15,159,0,42,4,33,,29,3,1,
,42568,29,1,0,8,0,5,0,7,0,37,41,70,48,1600,18,201,450,2276,40,no trends,40,137,0,44,3,43,,35,7,1,
,42575,30,0,0,12,0,1,0,3,2,25,40,66,19,999,18,136,403,2016,60,no trends,70,109,1,65,10,55,,43,11,1,
,42582,31,0,10,14,0,2,0,14,0,46,15,56,8,815,20,200,245,2573,70,no trends,39,75,0,61,7,96,,69,25,2,
,42589,32,5,16,9,1,7,0,16,0,57,16,23,30,730,15,134,212,2860,50,no trends,55,41,0,35,13,82,,71,10,1,
,42596,33,3,48,11,0,17,0,21,0,73,17,10,64,598,0,88,253,3092,45,no trends,39,59,4,66,7,83,,62,13,8,
,42603,34,1,52,10,2,13,5,17,0,99,16,16,5,388,0,48,355,2555,57,no trends,40,99,4,50,6,88,,68,10,10,
,42610,35,2,31,9,3,3,0,15,0,83,15,3,4,377,0,14,208,1303,36,no trends,35,82,46,42,5,65,,48,12,5,
,42617,36,0,76,10,2,6,0,24,0,122,6,5,2,371,0,65,311,1918,44,no trends,31,98,67,27,7,83,,60,17,6,
,42624,37,1,45,16,2,24,0,12,0,96,5,2,5,319,0,153,150,1707,31,no trends,9,87,39,18,8,94,,69,21,4,
,42631,38,3,64,10,2,10,0,11,0,99,3,0,26,339,0,53,106,1472,39,no trends,4,85,35,17,11,83,,58,18,7,
,43003,39,0,33,9,no graph,17,0,14,no graph,95,5,0,6,100,0,48,93,1238,29,no trends,5,59,116,11,5,77,,52,19,6,
,43010,40,0,32,10,no graph,17,0,6,no graph,110,1,0,0,117,0,38,80,1212,30,no trends,3,106,89,9,9,71,,45,21,5,
,43017,41,4,23,11,no graph,23,15,7,no graph,83,3,0,1,57,0,25,68,986,16,no trends,0,70,50,5,10,78,,46,27,5,
